#1 minute_of_the_year	internal_gains_zone1
double heatGain(8760,2)	
0	162.71111108
60	162.71111108
120	162.71111108
180	162.71111108
240	162.71111108
300	162.71111108
360	162.71111108
420	162.71111108
480	162.71111108
540	0
600	0
660	0
720	0
780	0
840	0
900	0
960	0
1020	0
1080	0
1140	0
1200	162.71111108
1260	162.71111108
1320	162.71111108
1380	162.71111108
1440	162.71111108
1500	162.71111108
1560	162.71111108
1620	162.71111108
1680	162.71111108
1740	162.71111108
1800	162.71111108
1860	81.35555554
1920	0
1980	0
2040	0
2100	0
2160	0
2220	0
2280	0
2340	0
2400	81.35555554
2460	81.35555554
2520	244.06666662
2580	244.06666662
2640	244.06666662
2700	162.71111108
2760	162.71111108
2820	162.71111108
2880	162.71111108
2940	162.71111108
3000	162.71111108
3060	162.71111108
3120	162.71111108
3180	162.71111108
3240	162.71111108
3300	81.35555554
3360	0
3420	0
3480	0
3540	0
3600	0
3660	0
3720	0
3780	0
3840	81.35555554
3900	81.35555554
3960	244.06666662
4020	244.06666662
4080	244.06666662
4140	162.71111108
4200	162.71111108
4260	162.71111108
4320	162.71111108
4380	162.71111108
4440	162.71111108
4500	162.71111108
4560	162.71111108
4620	162.71111108
4680	162.71111108
4740	162.71111108
4800	162.71111108
4860	162.71111108
4920	162.71111108
4980	162.71111108
5040	406.7777777
5100	406.7777777
5160	406.7777777
5220	406.7777777
5280	406.7777777
5340	406.7777777
5400	406.7777777
5460	406.7777777
5520	162.71111108
5580	162.71111108
5640	162.71111108
5700	162.71111108
5760	162.71111108
5820	162.71111108
5880	162.71111108
5940	162.71111108
6000	162.71111108
6060	162.71111108
6120	162.71111108
6180	162.71111108
6240	162.71111108
6300	0
6360	0
6420	0
6480	0
6540	0
6600	0
6660	0
6720	0
6780	0
6840	0
6900	0
6960	0
7020	162.71111108
7080	162.71111108
7140	162.71111108
7200	162.71111108
7260	162.71111108
7320	162.71111108
7380	162.71111108
7440	162.71111108
7500	162.71111108
7560	162.71111108
7620	162.71111108
7680	162.71111108
7740	0
7800	0
7860	0
7920	0
7980	0
8040	0
8100	0
8160	0
8220	0
8280	0
8340	0
8400	162.71111108
8460	162.71111108
8520	162.71111108
8580	162.71111108
8640	162.71111108
8700	162.71111108
8760	162.71111108
8820	162.71111108
8880	162.71111108
8940	162.71111108
9000	162.71111108
9060	81.35555554
9120	0
9180	0
9240	0
9300	0
9360	0
9420	0
9480	0
9540	0
9600	81.35555554
9660	81.35555554
9720	244.06666662
9780	244.06666662
9840	244.06666662
9900	162.71111108
9960	162.71111108
10020	162.71111108
10080	162.71111108
10140	162.71111108
10200	162.71111108
10260	162.71111108
10320	162.71111108
10380	162.71111108
10440	162.71111108
10500	81.35555554
10560	0
10620	0
10680	0
10740	0
10800	0
10860	0
10920	0
10980	0
11040	81.35555554
11100	81.35555554
11160	244.06666662
11220	244.06666662
11280	244.06666662
11340	162.71111108
11400	162.71111108
11460	162.71111108
11520	162.71111108
11580	162.71111108
11640	162.71111108
11700	162.71111108
11760	162.71111108
11820	162.71111108
11880	162.71111108
11940	81.35555554
12000	0
12060	0
12120	0
12180	0
12240	0
12300	0
12360	0
12420	0
12480	81.35555554
12540	81.35555554
12600	244.06666662
12660	244.06666662
12720	244.06666662
12780	162.71111108
12840	162.71111108
12900	162.71111108
12960	162.71111108
13020	162.71111108
13080	162.71111108
13140	162.71111108
13200	162.71111108
13260	162.71111108
13320	162.71111108
13380	81.35555554
13440	0
13500	0
13560	0
13620	0
13680	0
13740	0
13800	0
13860	0
13920	81.35555554
13980	81.35555554
14040	244.06666662
14100	244.06666662
14160	244.06666662
14220	162.71111108
14280	162.71111108
14340	162.71111108
14400	162.71111108
14460	162.71111108
14520	162.71111108
14580	162.71111108
14640	162.71111108
14700	162.71111108
14760	162.71111108
14820	162.71111108
14880	162.71111108
14940	162.71111108
15000	162.71111108
15060	162.71111108
15120	406.7777777
15180	406.7777777
15240	406.7777777
15300	406.7777777
15360	406.7777777
15420	406.7777777
15480	406.7777777
15540	406.7777777
15600	162.71111108
15660	162.71111108
15720	162.71111108
15780	162.71111108
15840	162.71111108
15900	162.71111108
15960	162.71111108
16020	162.71111108
16080	162.71111108
16140	162.71111108
16200	162.71111108
16260	162.71111108
16320	162.71111108
16380	0
16440	0
16500	0
16560	0
16620	0
16680	0
16740	0
16800	0
16860	0
16920	0
16980	0
17040	0
17100	162.71111108
17160	162.71111108
17220	162.71111108
17280	162.71111108
17340	162.71111108
17400	162.71111108
17460	162.71111108
17520	162.71111108
17580	162.71111108
17640	162.71111108
17700	81.35555554
17760	0
17820	0
17880	0
17940	0
18000	0
18060	0
18120	0
18180	0
18240	81.35555554
18300	81.35555554
18360	244.06666662
18420	244.06666662
18480	244.06666662
18540	162.71111108
18600	162.71111108
18660	162.71111108
18720	162.71111108
18780	162.71111108
18840	162.71111108
18900	162.71111108
18960	162.71111108
19020	162.71111108
19080	162.71111108
19140	81.35555554
19200	0
19260	0
19320	0
19380	0
19440	0
19500	0
19560	0
19620	0
19680	81.35555554
19740	81.35555554
19800	244.06666662
19860	244.06666662
19920	244.06666662
19980	162.71111108
20040	162.71111108
20100	162.71111108
20160	162.71111108
20220	162.71111108
20280	162.71111108
20340	162.71111108
20400	162.71111108
20460	162.71111108
20520	162.71111108
20580	81.35555554
20640	0
20700	0
20760	0
20820	0
20880	0
20940	0
21000	0
21060	0
21120	81.35555554
21180	81.35555554
21240	244.06666662
21300	244.06666662
21360	244.06666662
21420	162.71111108
21480	162.71111108
21540	162.71111108
21600	162.71111108
21660	162.71111108
21720	162.71111108
21780	162.71111108
21840	162.71111108
21900	162.71111108
21960	162.71111108
22020	81.35555554
22080	0
22140	0
22200	0
22260	0
22320	0
22380	0
22440	0
22500	0
22560	81.35555554
22620	81.35555554
22680	244.06666662
22740	244.06666662
22800	244.06666662
22860	162.71111108
22920	162.71111108
22980	162.71111108
23040	162.71111108
23100	162.71111108
23160	162.71111108
23220	162.71111108
23280	162.71111108
23340	162.71111108
23400	162.71111108
23460	81.35555554
23520	0
23580	0
23640	0
23700	0
23760	0
23820	0
23880	0
23940	0
24000	81.35555554
24060	81.35555554
24120	244.06666662
24180	244.06666662
24240	244.06666662
24300	162.71111108
24360	162.71111108
24420	162.71111108
24480	162.71111108
24540	162.71111108
24600	162.71111108
24660	162.71111108
24720	162.71111108
24780	162.71111108
24840	162.71111108
24900	162.71111108
24960	162.71111108
25020	162.71111108
25080	162.71111108
25140	162.71111108
25200	406.7777777
25260	406.7777777
25320	406.7777777
25380	406.7777777
25440	406.7777777
25500	406.7777777
25560	406.7777777
25620	406.7777777
25680	162.71111108
25740	162.71111108
25800	162.71111108
25860	162.71111108
25920	162.71111108
25980	162.71111108
26040	162.71111108
26100	162.71111108
26160	162.71111108
26220	162.71111108
26280	162.71111108
26340	162.71111108
26400	162.71111108
26460	0
26520	0
26580	0
26640	0
26700	0
26760	0
26820	0
26880	0
26940	0
27000	0
27060	0
27120	0
27180	162.71111108
27240	162.71111108
27300	162.71111108
27360	162.71111108
27420	162.71111108
27480	162.71111108
27540	162.71111108
27600	162.71111108
